,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,手法名,試行数,,,,,,,,,,,,,,,,,,,,,,,,
,30-20カリキュラム,5,,,,,,,,,,,,,,,,,,,,,,,,
,11セルネットワーク,10,,,,,,,,,,,,,,,,,,,,,,,,
,20セルネットワーク,10,,,,,,,,,,,,,,,,,,,,,,,,
,32セルネットワーク,10,,,,,,,,,,,,,,,,,,,,,,,,
,32セル・制約項なし,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,seed,パラメタ数(K),MAC数(M),32セル・30−30カリキュラム（平均）,32セル・30−30カリキュラム,制約項重み(30-30カリキュラム),32セル・カリキュラムなし(平均),32セル・カリキュラムなし,制約項重み(カリキュラムなし),32セル・制約なし（平均）,32セル・制約なし,32セル・カリキュラムあり(平均),32セル・カリキュラムあり,制約項重み,11セル(平均),11セル,20セル（平均）,20セル,32セル（平均）,32セル,20セルアナログ（平均）,20セルアナログ,20セル（離散化リセット）（平均）,20セル（離散化リセット）,20セルアナログリセット（平均）,20セルアナログリセット
,9,,,,,,,,,,,,,,,,,,,,,0.6864999931,,,,
,,,,,,,,,,,,,,,,,,,,,0.6825898742,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,0.68989999,,
,1,,,,,,,,,,,,,,,,,,,,,,,0.68309,,
,2,,,,,,,,,,,,,,,,,,,,,,,0.687699993,,
,3,,,,,,,,,,,,,,,,,,,,,,,0.686499993,,
,4,,,,,,,,,,,,,,,,,,,,,,,0.685099,,
,5,,,,,,,,,,,,,,,,,,,,,,,0.696599993,,
,6,,,,,,,,,,,,,,,,,,,,,,,0.68699999,,
,7,,,,,,,,,,,,,,,,,,,,,,,0.6819999,,
,8,,,,,,,,,,,,,,,,,,,,,,,0.68739999,,
,9,,,,,,,,,,,,,,,,,,,,,,,0.6803999,,
,,,,,,,,,,,,,,,,,,,,,,,0.6865688749,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,0.680999
,1,,,,,,,,,,,,,,,,,,,,,,,,,0.6832999
,2,,,,,,,,,,,,,,,,,,,,,,,,,0.6758999
,3,,,,,,,,,,,,,,,,,,,,,,,,,0.676799
,4,,,,,,,,,,,,,,,,,,,,,,,,,0.67509999
,5,,,,,,,,,,,,,,,,,,,,,,,,,0.67829999
,6,,,,,,,,,,,,,,,,,,,,,,,,,0.6787999932
,7,,,,,,,,,,,,,,,,,,,,,,,,,0.6795999
,8,,,,,,,,,,,,,,,,,,,,,,,,,0.6796999932
,9,,,,,,,,,,,,,,,,,,,,,,,,,0.677399
,,,,,,,,,,,,,,,,,,,,,,,,,0.6785896666,
,0,366.252,4.491,,0.6737999,γ=0.1,,,,,,,,,,,,,,,,,,,0.6785896666,
,1,366.252,4.491,,0.68709,γ=0.1,,,,,,,,,,,,,,,,,,,0.6785896666,
,2,404.332,4.684,,0.676499,γ=0.1,,,,,,,,,,,,,,,,,,,0.6785896666,
,3,431.980,4.028,,0.67779,γ=0.1,,,,,,,,,,,,,,,,,,,0.6785896666,
,4,366.252,4.491,,0.68419,γ=0.1,,,,,,,,,,,,,,,,,,,0.6785896666,
,0,403.628,5.266,,0.69239,γ=0.01,,,,,,,,,,,,,,,,,,,0.6785896666,
,1,444.396,4.282,,0.688099,γ=0.01,,,,,,,,,,,,,,,,,,,0.6785896666,
,2,378.668,4.752,,0.679499,γ=0.01,,,,,,,,,,,,,,,,,,,0.6785896666,
,3,403.500,5.267,,0.69579,γ=0.01,,,,,,,,,,,,,,,,,,,0.6785896666,
,4,454.444,5.132,,0.69569999,γ=0.01,,,,,,,,,,,,,,,,,,,0.6785896666,
,0,484.844,7.690,,0.6888999,γ=-0.001,,,,,,,,,,,,,,,,,,,0.6785896666,
,1,453.804,6.302,,0.6895999,γ=-0.001,,,,,,,,,,,,,,,,,,,0.6785896666,
,2,378.540,4.747,,0.68739999,γ=-0.001,,,,,,,,,,,,,,,,,,,0.6785896666,
,3,512.876,10.845,,0.685099,γ=-0.001,,,,,,,,,,,,,,,,,,,0.6785896666,
,4,476.908,6.243,,0.6961999,γ=-0.001,,,,,,,,,,,,,,,,,,,0.6785896666,
,0,574.444,12.120,,0.690499,γ=-0.01,,,,,,,,,,,,,,,,,,,0.6785896666,
,1,461.676,10.971,,0.6922999,γ=-0.01,,,,,,,,,,,,,,,,,,,0.6785896666,
,2,410.924,6.704,,0.70149999,γ=-0.01,,,,,,,,,,,,,,,,,,,0.6785896666,
,3,529.260,9.901,,0.702499,γ=-0.01,,,,,,,,,,,,,,,,,,,0.6785896666,
,4,449.516,10.718,,0.6838999932,γ=-0.01,,,,,,,,,,,,,,,,,,,0.6785896666,
,0,574.892,12.727,,0.67379,γ=-0.1,,,,,,,,,,,,,,,,,,,0.6785896666,
,1,537.580,12.526,,0.6870999,γ=-0.1,,,,,,,,,,,,,,,,,,,0.6785896666,
,2,537.580,12.540,,0.685999,γ=-0.1,,,,,,,,,,,,,,,,,,,0.6785896666,
,3,562.604,12.474,,0.684499,γ=-0.1,,,,,,,,,,,,,,,,,,,0.6785896666,
,4,599.788,12.658,,0.684199993,γ=-0.1,,,,,,,,,,,,,,,,,,,0.6785896666,
,0,726.444,13.477,,0.63829999,γ=-1,,,,,,,,,,,,,,,,,,,0.6785896666,
,1,727.212,13.502,,0.63549999,γ=-1,,,,,,,,,,,,,,,,,,,0.6785896666,
,2,728.748,13.513,,0.632699,γ=-1,,,,,,,,,,,,,,,,,,,0.6785896666,
,3,690.540,13.308,,0.6379999,γ=-1,,,,,,,,,,,,,,,,,,,0.6785896666,
,4,727.852,13.496,,0.62879,γ=-1,,,,,,,,,,,,,,,,,,,0.6785896666,
