07/13 07:03:27PM parser.py:28 [INFO] 
07/13 07:03:27PM parser.py:29 [INFO] Parameters:
07/13 07:03:27PM parser.py:31 [INFO] ADVANCED=True
07/13 07:03:27PM parser.py:31 [INFO] BATCH_SIZE=64
07/13 07:03:27PM parser.py:31 [INFO] CIFAR=True
07/13 07:03:27PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/13 07:03:27PM parser.py:31 [INFO] DATA_PATH=../data/
07/13 07:03:27PM parser.py:31 [INFO] DATASET=cifar100
07/13 07:03:27PM parser.py:31 [INFO] DESCRIPTION=pretrained_LR-0.001_minlr-0.0001_warmup-0
07/13 07:03:27PM parser.py:31 [INFO] EPOCHS=100
07/13 07:03:27PM parser.py:31 [INFO] EXP_NAME=pretrained-20240713-190327
07/13 07:03:27PM parser.py:31 [INFO] GPUS=[0]
07/13 07:03:27PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/13 07:03:27PM parser.py:31 [INFO] LR=0.001
07/13 07:03:27PM parser.py:31 [INFO] LR_MIN=0.0001
07/13 07:03:27PM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/13 07:03:27PM parser.py:31 [INFO] MOMENTUM=0.9
07/13 07:03:27PM parser.py:31 [INFO] NAME=FINETUNE2
07/13 07:03:27PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240713-190327
07/13 07:03:27PM parser.py:31 [INFO] PRETRAINED=True
07/13 07:03:27PM parser.py:31 [INFO] SAVE=pretrained
07/13 07:03:27PM parser.py:31 [INFO] SEED=0
07/13 07:03:27PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/13 07:03:27PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/13 07:03:27PM parser.py:31 [INFO] WORKERS=4
07/13 07:03:27PM parser.py:32 [INFO] 
07/13 07:03:27PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/13 08:01:44午後 trainTeacher_main.py:237 [INFO] Valid: [ 52/99] Final Prec@1 82.6800%
07/13 08:01:44午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.3200%
07/13 08:02:58午後 trainTeacher_main.py:209 [INFO] Train: [ 53/99] Final Prec@1 95.4400%
07/13 08:03:01午後 trainTeacher_main.py:237 [INFO] Valid: [ 53/99] Final Prec@1 83.0600%
07/13 08:03:01午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.3200%
07/13 08:04:15午後 trainTeacher_main.py:209 [INFO] Train: [ 54/99] Final Prec@1 95.6289%
07/13 08:04:17午後 trainTeacher_main.py:237 [INFO] Valid: [ 54/99] Final Prec@1 82.6800%
07/13 08:04:17午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.3200%
07/13 08:05:31午後 trainTeacher_main.py:209 [INFO] Train: [ 55/99] Final Prec@1 95.5867%
07/13 08:05:34午後 trainTeacher_main.py:237 [INFO] Valid: [ 55/99] Final Prec@1 83.6200%
07/13 08:05:34午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6200%
07/13 08:06:48午後 trainTeacher_main.py:209 [INFO] Train: [ 56/99] Final Prec@1 95.6778%
07/13 08:06:50午後 trainTeacher_main.py:237 [INFO] Valid: [ 56/99] Final Prec@1 83.0600%
07/13 08:06:50午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6200%
07/13 08:08:04午後 trainTeacher_main.py:209 [INFO] Train: [ 57/99] Final Prec@1 95.7267%
07/13 08:08:07午後 trainTeacher_main.py:237 [INFO] Valid: [ 57/99] Final Prec@1 83.2600%
07/13 08:08:07午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6200%
07/13 08:09:21午後 trainTeacher_main.py:209 [INFO] Train: [ 58/99] Final Prec@1 95.9044%
07/13 08:09:23午後 trainTeacher_main.py:237 [INFO] Valid: [ 58/99] Final Prec@1 83.2600%
07/13 08:09:23午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6200%
07/13 08:10:37午後 trainTeacher_main.py:209 [INFO] Train: [ 59/99] Final Prec@1 95.9444%
07/13 08:10:40午後 trainTeacher_main.py:237 [INFO] Valid: [ 59/99] Final Prec@1 83.2000%
07/13 08:10:40午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6200%
07/13 08:11:54午後 trainTeacher_main.py:209 [INFO] Train: [ 60/99] Final Prec@1 96.0756%
07/13 08:11:56午後 trainTeacher_main.py:237 [INFO] Valid: [ 60/99] Final Prec@1 83.0600%
07/13 08:11:56午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6200%
07/13 08:13:10午後 trainTeacher_main.py:209 [INFO] Train: [ 61/99] Final Prec@1 96.0467%
07/13 08:13:13午後 trainTeacher_main.py:237 [INFO] Valid: [ 61/99] Final Prec@1 83.4200%
07/13 08:13:13午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6200%
07/13 08:14:27午後 trainTeacher_main.py:209 [INFO] Train: [ 62/99] Final Prec@1 96.1022%
07/13 08:14:29午後 trainTeacher_main.py:237 [INFO] Valid: [ 62/99] Final Prec@1 83.0000%
07/13 08:14:29午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6200%
