エポック数,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度
,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,固定セル,固定セル,固定セル,固定セル,固定セル,固定セル,カリキュラム30-30,カリキュラム30-30
エポック数,g=1(カリキュラム),g=0.1(カリキュラム),g=0.01(カリキュラム),g=0.001(カリキュラム),g=-0.001(カリキュラム),g=-0.01(カリキュラム),g=-0.1(カリキュラム),g=-1(カリキュラム),g=0(カリキュラム),g=1,g=0.1,g=0.01,g=0.001,g=-0.001,g=-0.01,g=-0.1,g=-1,11セル,20セル,32セル,20セル(離散化・リセット),20セル（アナログ・LRリセット）,20セル（アナログ・リセット）,g=1,g=0.001
36,0.5198960066,0.5142959952,0.5223119974,0.5177119851,0.5142959833,0.5170959949,0.5166959882,0.5032319844,0.520472002,0.5203040004,0.5170239925,0.5177039981,0.5162879944,0.5161599994,0.5151759982,0.5064879894,0.1837199952,0.5231400013,0.487244001,0.4494039983,0.4893279999,0.4936439991,0.4855920017,0.5163840055,0.5173200011
37,0.510296005,0.5122080028,0.5149600029,0.5179840088,0.515199995,0.5173839927,0.516711998,0.497743994,0.5175439954,0.5245920062,0.5188080072,0.5183999896,0.5141919971,0.5160719872,0.5111200094,0.5028719962,0.1942959949,0.5232959926,0.4938999981,0.4461679965,0.4962279946,0.4945199996,0.4947679907,0.5154559851,0.5175199986
38,0.5209199965,0.5164159894,0.5196239948,0.5210479975,0.5173599958,0.5179999948,0.5217279911,0.5037999988,0.5226639986,0.5193040013,0.5223039865,0.5218720078,0.5172559977,0.5193279982,0.519599998,0.5058480024,0.2999599993,0.5267719984,0.4934680015,0.4480040044,0.4930239916,0.4942800045,0.4974119961,0.5193040013,0.5181040049
39,0.5216800094,0.5198399901,0.5246079922,0.5246559978,0.5184879899,0.5213039994,0.5200239897,0.5061359942,0.5214640021,0.5225440025,0.5218239903,0.5195360065,0.5208959818,0.5222239971,0.5151280046,0.5098159909,0.1804079996,0.5203279972,0.496299997,0.4522239983,0.5002680004,0.4954080015,0.4959879994,0.5248239994,0.5204479933
40,0.5233199954,0.5192959905,0.523111999,0.5209679961,0.5146480083,0.523247993,0.5199280143,0.5019599915,0.5253920078,0.5214479923,0.5272000074,0.5190719843,0.522360003,0.5221360087,0.5158159971,0.506039995,0.07312799841,0.5224560082,0.5003519952,0.4494239986,0.4994760036,0.5007359952,0.498811996,0.526759994,0.5174719989
41,0.5222319961,0.5237679958,0.5293919921,0.524368,0.5206559896,0.5197839975,0.5230879903,0.5016640007,0.5261679888,0.5247120023,0.5238960028,0.5220800042,0.5232159972,0.5228399992,0.5241840005,0.5170080066,0.1735279996,0.5229959905,0.5009079993,0.4609079987,0.4976319969,0.4961800039,0.5023880005,0.5235119939,0.5230559826
42,0.5197039962,0.5192400098,0.5167120099,0.5185439944,0.5173280001,0.5133599818,0.5153439939,0.4988320112,0.5184880018,0.5215120077,0.5214959979,0.5144880056,0.5236879945,0.5200000048,0.5155440092,0.510168004,0.04875999931,0.5296839893,0.4975040019,0.4610759974,0.5013560057,0.5021159977,0.4989719957,0.5223440051,0.5215039849
43,0.5230000019,0.5235280037,0.5265679836,0.5281839848,0.5165599942,0.5288240075,0.5231519938,0.5027920008,0.5290639997,0.5231840014,0.5280400038,0.519848001,0.5235920072,0.5252399921,0.52363199,0.5090160012,0.05363199934,0.535679996,0.5002880067,0.4593720049,0.501376003,0.5062719852,0.5034159988,0.5255839944,0.5185279846
44,0.5313679934,0.5320000052,0.5336239934,0.5306159973,0.5254080057,0.5309199929,0.5328960061,0.505904007,0.5303920031,0.5338800073,0.5326319933,0.5301440001,0.5266559958,0.5317119956,0.5291920066,0.5224720001,0.06946400069,0.5269839942,0.5083800018,0.4640679896,0.5088039964,0.5029839903,0.5074199915,0.5338799953,0.5303120017
45,0.5294960022,0.5265280008,0.5303840041,0.5318079948,0.5271999836,0.5310479879,0.5285599947,0.5030399919,0.5297439933,0.5324079871,0.5290959954,0.531415987,0.5284559965,0.5330800056,0.531272006,0.5124160051,0.01814399958,0.5317880034,0.5024559975,0.4621039987,0.5028479993,0.5008159965,0.5014920026,0.5243200064,0.5306879878
