07/15 02:15:49AM parser.py:28 [INFO] 
07/15 02:15:49AM parser.py:29 [INFO] Parameters:
07/15 02:15:49AM parser.py:31 [INFO] ADVANCED=True
07/15 02:15:49AM parser.py:31 [INFO] BATCH_SIZE=64
07/15 02:15:49AM parser.py:31 [INFO] CIFAR=True
07/15 02:15:49AM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/15 02:15:49AM parser.py:31 [INFO] DATA_PATH=../data/
07/15 02:15:49AM parser.py:31 [INFO] DATASET=cifar100
07/15 02:15:49AM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-0_50Epoch
07/15 02:15:49AM parser.py:31 [INFO] EPOCHS=50
07/15 02:15:49AM parser.py:31 [INFO] EXP_NAME=pretrained-20240715-021549
07/15 02:15:49AM parser.py:31 [INFO] GPUS=[0]
07/15 02:15:49AM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/15 02:15:49AM parser.py:31 [INFO] LR=0.001
07/15 02:15:49AM parser.py:31 [INFO] LR_MIN=0.0001
07/15 02:15:49AM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/15 02:15:49AM parser.py:31 [INFO] MOMENTUM=0.9
07/15 02:15:49AM parser.py:31 [INFO] NAME=FINETUNE2
07/15 02:15:49AM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240715-021549
07/15 02:15:49AM parser.py:31 [INFO] PRETRAINED=True
07/15 02:15:49AM parser.py:31 [INFO] SAVE=pretrained
07/15 02:15:49AM parser.py:31 [INFO] SEED=0
07/15 02:15:49AM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/15 02:15:49AM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/15 02:15:49AM parser.py:31 [INFO] WORKERS=4
07/15 02:15:49AM parser.py:32 [INFO] 
07/15 02:15:49AM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/15 02:43:22午前 trainTeacher_main.py:237 [INFO] Valid: [ 43/49] Final Prec@1 83.4400%
07/15 02:43:22午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.5200%
07/15 02:43:58午前 trainTeacher_main.py:209 [INFO] Train: [ 44/49] Final Prec@1 95.3689%
07/15 02:43:59午前 trainTeacher_main.py:237 [INFO] Valid: [ 44/49] Final Prec@1 83.6200%
07/15 02:43:59午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6200%
07/15 02:44:35午前 trainTeacher_main.py:209 [INFO] Train: [ 45/49] Final Prec@1 95.6044%
07/15 02:44:37午前 trainTeacher_main.py:237 [INFO] Valid: [ 45/49] Final Prec@1 83.4800%
07/15 02:44:37午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6200%
07/15 02:45:13午前 trainTeacher_main.py:209 [INFO] Train: [ 46/49] Final Prec@1 95.5822%
07/15 02:45:14午前 trainTeacher_main.py:237 [INFO] Valid: [ 46/49] Final Prec@1 83.5200%
07/15 02:45:14午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6200%
07/15 02:45:51午前 trainTeacher_main.py:209 [INFO] Train: [ 47/49] Final Prec@1 95.3956%
07/15 02:45:52午前 trainTeacher_main.py:237 [INFO] Valid: [ 47/49] Final Prec@1 83.0800%
07/15 02:45:52午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6200%
07/15 02:46:28午前 trainTeacher_main.py:209 [INFO] Train: [ 48/49] Final Prec@1 95.4956%
07/15 02:46:29午前 trainTeacher_main.py:237 [INFO] Valid: [ 48/49] Final Prec@1 83.6400%
07/15 02:46:29午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6400%
07/15 02:47:06午前 trainTeacher_main.py:209 [INFO] Train: [ 49/49] Final Prec@1 95.4667%
07/15 02:47:07午前 trainTeacher_main.py:237 [INFO] Valid: [ 49/49] Final Prec@1 83.4400%
07/15 02:47:07午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6400%
07/15 02:47:07午前 trainTeacher_main.py:181 [INFO] Final best Prec@1 = 83.6400%
