07/16 01:17:01AM parser.py:28 [INFO] 
07/16 01:17:01AM parser.py:29 [INFO] Parameters:
07/16 01:17:01AM parser.py:31 [INFO] ADVANCED=True
07/16 01:17:01AM parser.py:31 [INFO] BATCH_SIZE=64
07/16 01:17:01AM parser.py:31 [INFO] CIFAR=True
07/16 01:17:01AM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/16 01:17:01AM parser.py:31 [INFO] DATA_PATH=../data/
07/16 01:17:01AM parser.py:31 [INFO] DATASET=cifar100
07/16 01:17:01AM parser.py:31 [INFO] DESCRIPTION=pretrained_LR_features-0.001_classifier-0.01_cosine_warmup-0
07/16 01:17:01AM parser.py:31 [INFO] EPOCHS=50
07/16 01:17:01AM parser.py:31 [INFO] EXP_NAME=pretrained-20240716-011701
07/16 01:17:01AM parser.py:31 [INFO] GPUS=[0]
07/16 01:17:01AM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/16 01:17:01AM parser.py:31 [INFO] LR=0.001
07/16 01:17:01AM parser.py:31 [INFO] LR_MIN=0.0001
07/16 01:17:01AM parser.py:31 [INFO] MODEL_NAME=efficientnet_v2_m
07/16 01:17:01AM parser.py:31 [INFO] MOMENTUM=0.9
07/16 01:17:01AM parser.py:31 [INFO] NAME=FINETUNE2
07/16 01:17:01AM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_v2_m/FINETUNE2/pretrained-20240716-011701
07/16 01:17:01AM parser.py:31 [INFO] PRETRAINED=True
07/16 01:17:01AM parser.py:31 [INFO] SAVE=pretrained
07/16 01:17:01AM parser.py:31 [INFO] SEED=0
07/16 01:17:01AM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/16 01:17:01AM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/16 01:17:01AM parser.py:31 [INFO] WORKERS=4
07/16 01:17:01AM parser.py:32 [INFO] 
07/16 01:17:02AM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/16 02:28:39午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.6600%
07/16 02:30:32午前 trainTeacher_main.py:210 [INFO] Train: [ 37/49] Final Prec@1 99.5089%
07/16 02:30:35午前 trainTeacher_main.py:238 [INFO] Valid: [ 37/49] Final Prec@1 86.0400%
07/16 02:30:35午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.6600%
07/16 02:32:28午前 trainTeacher_main.py:210 [INFO] Train: [ 38/49] Final Prec@1 99.5267%
07/16 02:32:31午前 trainTeacher_main.py:238 [INFO] Valid: [ 38/49] Final Prec@1 86.8600%
07/16 02:32:31午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.8600%
07/16 02:34:24午前 trainTeacher_main.py:210 [INFO] Train: [ 39/49] Final Prec@1 99.5311%
07/16 02:34:27午前 trainTeacher_main.py:238 [INFO] Valid: [ 39/49] Final Prec@1 86.3000%
07/16 02:34:27午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.8600%
07/16 02:36:20午前 trainTeacher_main.py:210 [INFO] Train: [ 40/49] Final Prec@1 99.5311%
07/16 02:36:23午前 trainTeacher_main.py:238 [INFO] Valid: [ 40/49] Final Prec@1 86.2400%
07/16 02:36:23午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.8600%
07/16 02:38:16午前 trainTeacher_main.py:210 [INFO] Train: [ 41/49] Final Prec@1 99.5178%
07/16 02:38:19午前 trainTeacher_main.py:238 [INFO] Valid: [ 41/49] Final Prec@1 87.0400%
07/16 02:38:19午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 87.0400%
07/16 02:40:12午前 trainTeacher_main.py:210 [INFO] Train: [ 42/49] Final Prec@1 99.5844%
07/16 02:40:15午前 trainTeacher_main.py:238 [INFO] Valid: [ 42/49] Final Prec@1 86.4600%
07/16 02:40:15午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 87.0400%
07/16 02:42:08午前 trainTeacher_main.py:210 [INFO] Train: [ 43/49] Final Prec@1 99.5711%
07/16 02:42:11午前 trainTeacher_main.py:238 [INFO] Valid: [ 43/49] Final Prec@1 86.5000%
07/16 02:42:11午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 87.0400%
07/16 02:44:04午前 trainTeacher_main.py:210 [INFO] Train: [ 44/49] Final Prec@1 99.6089%
07/16 02:44:07午前 trainTeacher_main.py:238 [INFO] Valid: [ 44/49] Final Prec@1 86.8800%
07/16 02:44:07午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 87.0400%
07/16 02:46:00午前 trainTeacher_main.py:210 [INFO] Train: [ 45/49] Final Prec@1 99.6044%
07/16 02:46:03午前 trainTeacher_main.py:238 [INFO] Valid: [ 45/49] Final Prec@1 86.8200%
07/16 02:46:03午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 87.0400%
07/16 02:47:55午前 trainTeacher_main.py:210 [INFO] Train: [ 46/49] Final Prec@1 99.6111%
07/16 02:47:59午前 trainTeacher_main.py:238 [INFO] Valid: [ 46/49] Final Prec@1 86.6800%
07/16 02:47:59午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 87.0400%
07/16 02:49:51午前 trainTeacher_main.py:210 [INFO] Train: [ 47/49] Final Prec@1 99.5600%
07/16 02:49:55午前 trainTeacher_main.py:238 [INFO] Valid: [ 47/49] Final Prec@1 86.9200%
07/16 02:49:55午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 87.0400%
07/16 02:51:47午前 trainTeacher_main.py:210 [INFO] Train: [ 48/49] Final Prec@1 99.6511%
07/16 02:51:50午前 trainTeacher_main.py:238 [INFO] Valid: [ 48/49] Final Prec@1 86.5200%
07/16 02:51:51午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 87.0400%
07/16 02:53:43午前 trainTeacher_main.py:210 [INFO] Train: [ 49/49] Final Prec@1 99.6222%
07/16 02:53:46午前 trainTeacher_main.py:238 [INFO] Valid: [ 49/49] Final Prec@1 87.0600%
07/16 02:53:47午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 87.0600%
07/16 02:53:47午前 trainTeacher_main.py:182 [INFO] Final best Prec@1 = 87.0600%
