/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s5-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s4-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s3-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s1-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s8-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s7-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s0-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s6-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s9-discreteEval-LRreset_tb.csv,/home/miura/lab/KD-hdas/results/stat/20layer/train_loss/search_stage_KD_cifar100_SEARCHEVALnoDL_s2-discreteEval-LRreset_tb.csv,row_average
1.4916797876358032,1.4720158576965332,1.498978853225708,1.5041526556015017,1.5663832426071167,1.538776993751526,1.5193897485733032,1.5285158157348633,1.497231364250183,1.513463258743286,1.5130587577819825
1.465187430381775,1.4639757871627808,1.4749020338058472,1.4825323820114136,1.5375360250473022,1.520830750465393,1.4886544942855835,1.5023616552352903,1.465145468711853,1.4717044830322266,1.4872830510139465
1.4292367696762085,1.4107582569122314,1.4306193590164185,1.4463937282562256,1.503740310668945,1.482580065727234,1.459132194519043,1.4754714965820312,1.436640739440918,1.452264666557312,1.4526837587356567
1.386399507522583,1.380200982093811,1.4035897254943848,1.4154787063598633,1.4862933158874512,1.4575189352035522,1.4405230283737185,1.4387884140014648,1.4139786958694458,1.4286792278289795,1.4251450538635253
1.3646955490112305,1.360338807106018,1.3798978328704834,1.3832823038101196,1.4394588470458984,1.4355785846710205,1.4080921411514282,1.4075781106948853,1.3827539682388306,1.4057602882385254,1.396743643283844
1.3382419347763062,1.330680251121521,1.3427780866622925,1.3560782670974731,1.4192789793014526,1.3984278440475464,1.367986798286438,1.3826638460159302,1.3607332706451416,1.3690906763076782,1.366595995426178
1.322896122932434,1.321641445159912,1.3203158378601074,1.341217875480652,1.3990626335144043,1.3778687715530396,1.3640551567077637,1.3664767742156982,1.336704969406128,1.336445450782776,1.3486685037612915
1.3122193813323977,1.290698766708374,1.3175979852676392,1.310140609741211,1.376336693763733,1.3496291637420654,1.3329570293426514,1.3335013389587402,1.3184525966644287,1.3167667388916016,1.3258300304412842
1.29157817363739,1.269197940826416,1.290788173675537,1.2820760011672974,1.340762734413147,1.3266408443450928,1.3116618394851685,1.29764986038208,1.2928049564361572,1.2866445779800415,1.2989805102348329
1.2521134614944458,1.2479485273361206,1.2621090412139893,1.262404203414917,1.329681634902954,1.3058520555496216,1.2830336093902588,1.2877914905548096,1.2687053680419922,1.2767419815063477,1.2776381373405457
1.2263290882110596,1.2312153577804563,1.2352677583694458,1.2299119234085083,1.3126217126846311,1.2794593572616575,1.2474204301834106,1.257552981376648,1.2411422729492188,1.2419005632400513,1.2502821445465089
1.2065150737762451,1.1997547149658203,1.2194255590438845,1.198916792869568,1.2762126922607422,1.2647101879119873,1.2448047399520874,1.2350316047668457,1.2131294012069702,1.2264806032180786,1.228498136997223
1.1812968254089355,1.1814007759094238,1.1975373029708862,1.1984448432922363,1.2683219909667969,1.2391843795776367,1.229153037071228,1.2203683853149414,1.2026846408843994,1.2036197185516355,1.212201189994812
1.177774429321289,1.1565802097320557,1.1950249671936035,1.177407145500183,1.2219736576080322,1.2247626781463623,1.1886541843414309,1.2117927074432373,1.1742206811904907,1.1833540201187134,1.1911544680595398
1.1537638902664185,1.148695468902588,1.163481831550598,1.1498366594314575,1.215742826461792,1.2040034532546997,1.183261156082153,1.1820249557495115,1.1623982191085815,1.1630709171295166,1.1726279377937316
1.143330693244934,1.1312649250030518,1.1312928199768066,1.129173755645752,1.1906819343566897,1.184690237045288,1.158374309539795,1.1594547033309937,1.127070665359497,1.152999758720398,1.1508333802223205
1.1021170616149902,1.1173452138900757,1.1213914155960083,1.1186810731887815,1.1886873245239258,1.1605122089385986,1.1375963687896729,1.13855242729187,1.120510458946228,1.1214170455932615,1.1326810598373414
1.0867135524749756,1.0924694538116455,1.0984879732131958,1.0902198553085327,1.15440571308136,1.1445817947387695,1.1183569431304932,1.119121551513672,1.1068453788757324,1.102617263793945,1.1113819479942322
1.0704256296157837,1.0607694387435913,1.0915189981460571,1.0592423677444458,1.152052640914917,1.1159002780914309,1.1002111434936523,1.1039942502975464,1.082221508026123,1.0886410474777222,1.0924977302551269
1.0617233514785769,1.0541470050811768,1.0696191787719729,1.0720139741897583,1.1230287551879885,1.107551336288452,1.0867677927017212,1.0922306776046753,1.072334051132202,1.0680506229400637,1.0807466745376586
1.0555148124694824,1.046138882637024,1.05575692653656,1.0416197776794434,1.0968434810638428,1.1042941808700562,1.0685886144638062,1.057799220085144,1.0505006313323977,1.058853030204773,1.0635909557342529
