07/16 12:21:08AM parser.py:28 [INFO] 
07/16 12:21:08AM parser.py:29 [INFO] Parameters:
07/16 12:21:08AM parser.py:31 [INFO] ADVANCED=True
07/16 12:21:08AM parser.py:31 [INFO] BATCH_SIZE=64
07/16 12:21:08AM parser.py:31 [INFO] CIFAR=True
07/16 12:21:08AM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/16 12:21:08AM parser.py:31 [INFO] DATA_PATH=../data/
07/16 12:21:08AM parser.py:31 [INFO] DATASET=cifar100
07/16 12:21:08AM parser.py:31 [INFO] DESCRIPTION=pretrained_LR_features-0.001_classifier-0.01_cosine_warmup-0
07/16 12:21:08AM parser.py:31 [INFO] EPOCHS=50
07/16 12:21:08AM parser.py:31 [INFO] EXP_NAME=pretrained-20240716-002108
07/16 12:21:08AM parser.py:31 [INFO] GPUS=[0]
07/16 12:21:08AM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/16 12:21:08AM parser.py:31 [INFO] LR=0.001
07/16 12:21:08AM parser.py:31 [INFO] LR_MIN=0.0001
07/16 12:21:08AM parser.py:31 [INFO] MODEL_NAME=efficientnet_v2_s
07/16 12:21:08AM parser.py:31 [INFO] MOMENTUM=0.9
07/16 12:21:08AM parser.py:31 [INFO] NAME=FINETUNE2
07/16 12:21:08AM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_v2_s/FINETUNE2/pretrained-20240716-002108
07/16 12:21:08AM parser.py:31 [INFO] PRETRAINED=True
07/16 12:21:08AM parser.py:31 [INFO] SAVE=pretrained
07/16 12:21:08AM parser.py:31 [INFO] SEED=0
07/16 12:21:08AM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/16 12:21:08AM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/16 12:21:08AM parser.py:31 [INFO] WORKERS=4
07/16 12:21:08AM parser.py:32 [INFO] 
07/16 12:21:09AM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
07/16 12:52:24午前 trainTeacher_main.py:210 [INFO] Train: [ 27/49] Final Prec@1 98.6089%
07/16 12:52:26午前 trainTeacher_main.py:238 [INFO] Valid: [ 27/49] Final Prec@1 85.5800%
07/16 12:52:26午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.7600%
07/16 12:53:31午前 trainTeacher_main.py:210 [INFO] Train: [ 28/49] Final Prec@1 98.6622%
07/16 12:53:33午前 trainTeacher_main.py:238 [INFO] Valid: [ 28/49] Final Prec@1 85.9200%
07/16 12:53:34午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.9200%
07/16 12:54:38午前 trainTeacher_main.py:210 [INFO] Train: [ 29/49] Final Prec@1 98.7556%
07/16 12:54:40午前 trainTeacher_main.py:238 [INFO] Valid: [ 29/49] Final Prec@1 85.1200%
07/16 12:54:40午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.9200%
07/16 12:55:45午前 trainTeacher_main.py:210 [INFO] Train: [ 30/49] Final Prec@1 98.7889%
07/16 12:55:47午前 trainTeacher_main.py:238 [INFO] Valid: [ 30/49] Final Prec@1 86.1400%
07/16 12:55:47午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.1400%
07/16 12:56:52午前 trainTeacher_main.py:210 [INFO] Train: [ 31/49] Final Prec@1 98.8378%
07/16 12:56:54午前 trainTeacher_main.py:238 [INFO] Valid: [ 31/49] Final Prec@1 85.6200%
07/16 12:56:54午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.1400%
07/16 12:57:59午前 trainTeacher_main.py:210 [INFO] Train: [ 32/49] Final Prec@1 98.9933%
07/16 12:58:01午前 trainTeacher_main.py:238 [INFO] Valid: [ 32/49] Final Prec@1 85.7400%
07/16 12:58:01午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.1400%
07/16 12:59:06午前 trainTeacher_main.py:210 [INFO] Train: [ 33/49] Final Prec@1 98.9089%
07/16 12:59:08午前 trainTeacher_main.py:238 [INFO] Valid: [ 33/49] Final Prec@1 85.8800%
07/16 12:59:08午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.1400%
07/16 01:00:13午前 trainTeacher_main.py:210 [INFO] Train: [ 34/49] Final Prec@1 98.9689%
07/16 01:00:15午前 trainTeacher_main.py:238 [INFO] Valid: [ 34/49] Final Prec@1 85.6400%
07/16 01:00:15午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.1400%
07/16 01:01:20午前 trainTeacher_main.py:210 [INFO] Train: [ 35/49] Final Prec@1 99.0778%
07/16 01:01:22午前 trainTeacher_main.py:238 [INFO] Valid: [ 35/49] Final Prec@1 85.8600%
07/16 01:01:22午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.1400%
07/16 01:02:27午前 trainTeacher_main.py:210 [INFO] Train: [ 36/49] Final Prec@1 99.0222%
07/16 01:02:29午前 trainTeacher_main.py:238 [INFO] Valid: [ 36/49] Final Prec@1 86.0800%
07/16 01:02:29午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.1400%
07/16 01:03:34午前 trainTeacher_main.py:210 [INFO] Train: [ 37/49] Final Prec@1 99.0644%
07/16 01:03:36午前 trainTeacher_main.py:238 [INFO] Valid: [ 37/49] Final Prec@1 85.3000%
07/16 01:03:36午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.1400%
07/16 01:04:41午前 trainTeacher_main.py:210 [INFO] Train: [ 38/49] Final Prec@1 99.0978%
07/16 01:04:43午前 trainTeacher_main.py:238 [INFO] Valid: [ 38/49] Final Prec@1 86.2200%
07/16 01:04:43午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.2200%
07/16 01:05:48午前 trainTeacher_main.py:210 [INFO] Train: [ 39/49] Final Prec@1 99.0356%
07/16 01:05:50午前 trainTeacher_main.py:238 [INFO] Valid: [ 39/49] Final Prec@1 86.3400%
07/16 01:05:50午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.3400%
07/16 01:06:55午前 trainTeacher_main.py:210 [INFO] Train: [ 40/49] Final Prec@1 99.1489%
07/16 01:06:57午前 trainTeacher_main.py:238 [INFO] Valid: [ 40/49] Final Prec@1 86.1200%
07/16 01:06:57午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.3400%
07/16 01:08:02午前 trainTeacher_main.py:210 [INFO] Train: [ 41/49] Final Prec@1 99.1933%
07/16 01:08:04午前 trainTeacher_main.py:238 [INFO] Valid: [ 41/49] Final Prec@1 85.7600%
07/16 01:08:04午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.3400%
07/16 01:09:09午前 trainTeacher_main.py:210 [INFO] Train: [ 42/49] Final Prec@1 99.2511%
07/16 01:09:11午前 trainTeacher_main.py:238 [INFO] Valid: [ 42/49] Final Prec@1 85.3800%
07/16 01:09:11午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.3400%
07/16 01:10:15午前 trainTeacher_main.py:210 [INFO] Train: [ 43/49] Final Prec@1 99.2578%
07/16 01:10:17午前 trainTeacher_main.py:238 [INFO] Valid: [ 43/49] Final Prec@1 85.7000%
07/16 01:10:18午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.3400%
07/16 01:11:22午前 trainTeacher_main.py:210 [INFO] Train: [ 44/49] Final Prec@1 99.2222%
07/16 01:11:24午前 trainTeacher_main.py:238 [INFO] Valid: [ 44/49] Final Prec@1 85.8000%
07/16 01:11:24午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.3400%
07/16 01:12:29午前 trainTeacher_main.py:210 [INFO] Train: [ 45/49] Final Prec@1 99.2333%
07/16 01:12:31午前 trainTeacher_main.py:238 [INFO] Valid: [ 45/49] Final Prec@1 85.6400%
07/16 01:12:31午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.3400%
07/16 01:13:36午前 trainTeacher_main.py:210 [INFO] Train: [ 46/49] Final Prec@1 99.2756%
07/16 01:13:38午前 trainTeacher_main.py:238 [INFO] Valid: [ 46/49] Final Prec@1 85.7400%
07/16 01:13:38午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.3400%
07/16 01:14:43午前 trainTeacher_main.py:210 [INFO] Train: [ 47/49] Final Prec@1 99.2400%
07/16 01:14:45午前 trainTeacher_main.py:238 [INFO] Valid: [ 47/49] Final Prec@1 86.4200%
07/16 01:14:45午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.4200%
07/16 01:15:50午前 trainTeacher_main.py:210 [INFO] Train: [ 48/49] Final Prec@1 99.2844%
07/16 01:15:52午前 trainTeacher_main.py:238 [INFO] Valid: [ 48/49] Final Prec@1 86.1400%
07/16 01:15:52午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.4200%
07/16 01:16:57午前 trainTeacher_main.py:210 [INFO] Train: [ 49/49] Final Prec@1 99.2800%
07/16 01:16:59午前 trainTeacher_main.py:238 [INFO] Valid: [ 49/49] Final Prec@1 85.5200%
07/16 01:16:59午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 86.4200%
07/16 01:16:59午前 trainTeacher_main.py:182 [INFO] Final best Prec@1 = 86.4200%
