/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s1-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s3-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s4-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s2-expected2-sw3-g-1_30-20_tb.csv,/home/miura/lab/KD-hdas/results/stat/30-20/g-1/search_stage_KD_cifar100_Curriculum_s0-expected2-sw3-g-1_30-20_tb.csv,row_average
1.6990300416946411,1.8440170288085935,1.7161223888397217,1.7305554151535034,1.7804867029190063,1.7540423154830933
1.7272498607635498,1.826796293258667,1.737068772315979,1.6595628261566162,1.7641783952713013,1.7429712295532227
1.7679197788238523,1.707800030708313,1.7608171701431274,1.717302680015564,1.8587135076522827,1.762510633468628
1.7832762002944946,1.6718789339065552,1.7767460346221924,1.6696033477783203,1.7640101909637451,1.7331029415130614
1.63580584526062,1.911293029785156,1.7521941661834717,1.6365712881088257,1.7099992036819458,1.729172706604004
1.626874327659607,1.8234046697616575,1.6554574966430664,1.6374772787094116,1.8421789407730105,1.7170785427093507
1.8693196773529053,1.7560158967971802,1.697349190711975,1.5879995822906494,1.8512040376663208,1.7523776769638062
1.6931095123291016,1.7160853147506714,1.7593446969985962,1.6586041450500488,1.6667320728302002,1.6987751483917237
1.7168300151824951,1.8551355600357056,1.6630685329437256,1.638703465461731,1.6136457920074463,1.6974766731262207
1.592482328414917,1.7660027742385864,1.7838026285171509,1.6933138370513916,1.669015884399414,1.700923490524292
1.635920524597168,1.7000339031219482,1.6896507740020752,1.7014033794403076,1.6246416568756104,1.6703300476074219
1.6791846752166748,1.6827982664108276,1.7445014715194702,1.7172852754592896,1.6769671440124512,1.7001473665237428
1.656186580657959,1.7186219692230225,1.6937267780303955,1.5688287019729614,1.6588841676712036,1.6592496395111085
1.699904441833496,1.674210786819458,1.7246994972229004,1.6289653778076172,1.7212114334106443,1.6897983074188232
1.6664599180221558,1.8419469594955444,1.6818585395812988,1.6486881971359253,1.6325095891952517,1.6942926406860352
1.7723944187164309,1.6618547439575195,1.7950226068496704,1.6433298587799072,1.7089468240737915,1.7163096904754638
1.6566717624664309,1.7444747686386108,1.661797046661377,1.640213966369629,1.6776920557022097,1.6761699199676514
1.5973293781280518,1.626659274101257,1.7530587911605835,1.6872296333312988,1.7330724000930786,1.679469895362854
1.6561789512634275,1.6774168014526367,1.7470639944076538,1.5993061065673828,1.6511024236679075,1.6662136554718017
